"","run_id","min_bell_time","max_bell_time","run_id_school","run_id_run_code","run_type_code","run_type_student_code","run_type","students_transported"
"1","0002.051","8:40 AM","8:40 AM","0002","051","0","51","To school","Special education"
"2","0002.052","8:40 AM","8:40 AM","0002","052","0","52","To school","Special education"
"3","0002.151","2:45 PM","2:45 PM","0002","151","1","51","From school","Special education"
"4","0002.152","2:45 PM","2:45 PM","0002","152","1","52","From school","Special education"
"5","0003.051","8:45 AM","8:45 AM","0003","051","0","51","To school","Special education"
"6","0003.052","8:45 AM","8:45 AM","0003","052","0","52","To school","Special education"
"7","0003.053","8:45 AM","8:45 AM","0003","053","0","53","To school","Special education"
"8","0003.151","2:45 PM","2:45 PM","0003","151","1","51","From school","Special education"
"9","0003.152","2:45 PM","2:45 PM","0003","152","1","52","From school","Special education"
"10","0003.153","2:45 PM","2:45 PM","0003","153","1","53","From school","Special education"
"11","0005.051","8:30 AM","8:30 AM","0005","051","0","51","To school","Special education"
"12","0005.052","8:30 AM","8:30 AM","0005","052","0","52","To school","Special education"
"13","0005.151","2:45 PM","2:45 PM","0005","151","1","51","From school","Special education"
"14","0005.152","2:45 PM","2:45 PM","0005","152","1","52","From school","Special education"
"15","0012.051","8:45 AM","8:45 AM","0012","051","0","51","To school","Special education"
"16","0012.052","8:45 AM","8:45 AM","0012","052","0","52","To school","Special education"
"17","0012.053","8:45 AM","8:45 AM","0012","053","0","53","To school","Special education"
"18","0012.054","8:15 AM","8:15 AM","0012","054","0","54","To school","Special education"
"19","0012.055","8:15 AM","8:15 AM","0012","055","0","55","To school","Special education"
"20","0012.056","8:15 AM","8:15 AM","0012","056","0","56","To school","Special education"
"21","0012.057","8:15 AM","8:15 AM","0012","057","0","57","To school","Special education"
"22","0012.058","8:15 AM","8:15 AM","0012","058","0","58","To school","Special education"
"23","0012.059","8:15 AM","8:15 AM","0012","059","0","59","To school","Special education"
"24","0012.060","8:15 AM","8:15 AM","0012","060","0","60","To school","Special education"
"25","0012.062","8:45 AM","8:45 AM","0012","062","0","62","To school","Special education"
"26","0012.151","3:00 PM","3:00 PM","0012","151","1","51","From school","Special education"
"27","0012.152","3:00 PM","3:00 PM","0012","152","1","52","From school","Special education"
"28","0012.153","3:00 PM","3:00 PM","0012","153","1","53","From school","Special education"
